laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11",(No.00872250),13.490.000,AMD Ryzen 5 7520U,16  LPDDR5 5500 MHz,SSD 512,AMD Radeon Graphics
"Laptop Lenovo IdeaPad 3 15ITL6 i5 1155G7/16GB/512GB/15.6""FHD/Win11",(No.00882555),13.490.000,Intel Core i5 1155G7,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Acer Swift 3 SF314-43-R4X3 R5 5500U/16GB/512GB SSD/Win11,(No.00783546),18.990.000,AMD Ryzen 5 5500U,16  LPDDR4X 4266 MHz,SSD 512,AMD Radeon Graphics
"Laptop Dell Inspiron 15 N3520 i5 1235U/8GB/256GB/15.6""FHD/Win 11/Office HS21",(No.00859702),15.490.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 2666 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop MSI Modern 14 C7M-221VN R7 7730U/8GB/512GB/14"" FHD IPS/Win 11",(No.00895154),13.790.000,AMD Ryzen 7 7730U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop Asus Vivobook Flip TN3402YA-LZ188W R5-7530U/16GB/512GB/14"" Touch/Win11",(No.00890480),17.090.000,AMD Ryzen 5 7530U,16,SSD 512,Intel UHD Graphics
"Laptop MSI Gaming GF63 Thin 11SC-664VN i5 11400H/8GB/512GB/15.6""FHD/GeForce GTX 1650 4GB/Win 11",(No.00859658),15.490.000,Intel Core i5 11400H,8  DDR4 3200 MHz,SSD 512,NVIDIA GeForce GTX 1650 4GB
"Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U/8GB/512GB/15.6""FHD/Win 11",(No.00849513),12.990.000,AMD Ryzen 5 7520U,8  LPDDR5 5500 MHz,SSD 512,AMD Radeon Graphics
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11,(No.00874398),13.990.000,AMD Ryzen 5 7520U,16  LPDDR5 5500 MHz,SSD 512,AMD Radeon Graphics
"Laptop MSI Gaming Thin GF63 12VE-454VN i5 12450H/16GB/512GB/15.6"" FHD/GeForce RTX4050_6GB/Win 11",(No.00878325),21.490.000,Intel Core i5 12450H,16  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11",(No.00898312),15.290.000,Intel Core i5 12450H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,Intel UHD Graphics
"Laptop Asus TUF Gaming FX506HC-HN144W i5 11400H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11",(No.00807493),21.490.000,Intel Core i5 11400H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
"Laptop Acer Nitro 5 Gaming AN515-57-53F9 i5 11400H/8GB/512GB/15.6""FHD/RTX3050 4GB/Win11",(No.00888570),22.990.000,Intel Core i5 11400H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
